,From,To,Taxonomy
340,P11911,10090.ENSMUSP00000003469,10090
341,P31809,10090.ENSMUSP00000096266,10090
342,P82592,7159.AAEL000627-PA,7159
343,Q556R7,44689.DDB0266487,44689
344,P36222,9606.ENSP00000255409,9606
345,Q91Z98,10090.ENSMUSP00000080851,10090
346,Q96398,3659.XP_004169325.1,3659
347,Q6UXG3,9606.ENSP00000321005,9606
348,P47710,9606.ENSP00000246891,9606
349,P02666,9913.ENSBTAP00000003409,9913
350,P02668,9913.ENSBTAP00000028685,9913
351,P02669,9940.ENSOARP00000011880,9940
352,P56202,9606.ENSP00000311300,9606
353,Q8IVL8,9606.ENSP00000272852,9606
354,P06332,10090.ENSMUSP00000024044,10090
355,P27274,10116.ENSRNOP00000060967,10116
356,O43866,9606.ENSP00000357156,9606
357,P14209,9606.ENSP00000370588,9606
358,Q61400,10090.ENSMUSP00000037036,10090
359,P00773,10116.ENSRNOP00000006351,10116
360,P10809,9606.ENSP00000373620,9606
361,P63038,10090.ENSMUSP00000027123,10090
362,P0CB51,199306.XP_003071078.1,199306
363,O35744,10090.ENSMUSP00000053923,10090
364,P29029,4932.YLR286C,4932
365,P50229,10116.ENSRNOP00000015139,10116
366,Q14002,9606.ENSP00000006724,9606
367,Q8H8C7,4530.OS03T0133400-01,4530
368,P00450,9606.ENSP00000264613,9606
369,Q8VCT4,10090.ENSMUSP00000034172,10090
370,P06276,9606.ENSP00000264381,9606
371,P47001,4932.YJL158C,4932
372,P00889,9823.ENSSSCP00000021332,9823
373,Q6QD51,10116.ENSRNOP00000056490,10116
374,Q4V4I9,7227.FBpp0112144,7227
375,Q92583,9606.ENSP00000219244,9606
376,Q9Y4X3,9606.ENSP00000259631,9606
377,O13547,4932.YLR390W-A,4932
378,Q9NPF0,9606.ENSP00000301458,9606
379,Q28270,9612.ENSCAFP00000017250,9612
380,P28906,9606.ENSP00000310036,9606
381,P18181,10090.ENSMUSP00000064241,10090
382,P31358,9606.ENSP00000363330,9606
383,O77541,9986.ENSOCUP00000016507,9986
384,P40199,9606.ENSP00000199764,9606
385,P19835,9606.ENSP00000361151,9606
386,P15169,9606.ENSP00000359446,9606
387,P00431,4932.YKR066C,4932
388,P42292,9031.ENSGALP00000024723,9031
389,Q99467,9606.ENSP00000256447,9606
390,O62680,9823.ENSSSCP00000025898,9823
391,P40259,9606.ENSP00000376544,9606
392,P29197,3702.AT3G23990.1,3702
393,Q8WUJ3,9606.ENSP00000378177,9606
394,P16303,10116.ENSRNOP00000021812,10116
395,O02649,7227.FBpp0073290,7227
396,Q6UPE0,10116.ENSRNOP00000021407,10116
397,Q91XA9,10090.ENSMUSP00000078134,10090
398,Q13231,9606.ENSP00000356198,9606
399,P55774,9606.ENSP00000479955,9606
400,P22362,9606.ENSP00000225842,9606
401,P97884,10116.ENSRNOP00000021730,10116
402,O00585,9606.ENSP00000259607,9606
403,P26842,9606.ENSP00000266557,9606
404,P01730,9606.ENSP00000011653,9606
405,P11912,9606.ENSP00000221972,9606
406,Q9H5V8,9606.ENSP00000296129,9606
407,P00751,9606.ENSP00000416561,9606
408,Q28085,9913.ENSBTAP00000029340,9913
409,P08603,9606.ENSP00000356399,9606
410,P30922,9913.ENSBTAP00000024253,9913
411,Q29411,9823.ENSSSCP00000016408,9823
412,Q93ZM7,3702.AT3G13860.1,3702
413,P12024,7227.FBpp0085139,7227
414,Q9LEV3,3702.AT5G10860.1,3702
415,Q9H6E4,9606.ENSP00000255784,9606
416,P80325,10141.ENSCPOP00000012128,10141
417,Q16663,9606.ENSP00000484078,9606
418,O89093,10090.ENSMUSP00000109064,10090
419,O00175,9606.ENSP00000400533,9606
420,P10147,9606.ENSP00000477908,9606
421,P13501,9606.ENSP00000474412,9606
422,Q9BZW8,9606.ENSP00000357012,9606
423,Q5ZPR3,9606.ENSP00000320084,9606
424,P13987,9606.ENSP00000379191,9606
425,P33681,9606.ENSP00000264246,9606
426,O94907,9606.ENSP00000363081,9606
427,Q9M5K3,3702.AT1G48030.2,3702
428,Q9M5K2,3702.AT3G17240.1,3702
429,P49448,9606.ENSP00000327589,9606
430,P37298,4932.YDR178W,4932
431,Q9UNE0,9606.ENSP00000258443,9606
432,P28088,9913.ENSBTAP00000006979,9913
433,P55084,9606.ENSP00000325136,9606
434,P01920,9606.ENSP00000364080,9606
435,Q15768,9606.ENSP00000226091,9606
436,O18998,9986.ENSOCUP00000009746,9986
437,Q9FYB5,3702.AT4G36040.1,3702
438,Q62598,10116.ENSRNOP00000002946,10116
439,Q9M069,3702.AT4G34480.1,3702
440,Q62894,10116.ENSRNOP00000028740,10116
441,P22388,10116.ENSRNOP00000019361,10116
442,P22412,9823.ENSSSCP00000019823,9823
443,Q30154,9606.ENSP00000364114,9606
444,Q9ZT66,4577.GRMZM2G076348_P01,4577
445,P20827,9606.ENSP00000357392,9606
446,P98172,9606.ENSP00000204961,9606
447,P46163,9913.ENSBTAP00000018930,9913
448,P46165,9913.ENSBTAP00000055658,9913
449,P46168,9913.ENSBTAP00000046539,9913
450,P00639,9913.ENSBTAP00000054758,9913
451,P30224,3702.AT1G75830.1,3702
452,P81160,7227.FBpp0088975,7227
453,P09623,9823.ENSSSCP00000016374,9823
454,Q9H1M4,9606.ENSP00000371825,9606
455,Q9SUQ8,3702.AT4G23690.1,3702
456,P09624,4932.YFL018C,4932
457,Q8NBI3,9606.ENSP00000294485,9606
458,P81605,9606.ENSP00000406773,9606
459,P19427,9913.ENSBTAP00000028263,9913
460,P08174,9606.ENSP00000356030,9606
461,Q64591,10116.ENSRNOP00000011330,10116
462,O22609,3702.AT3G27925.1,3702
463,P00366,9913.ENSBTAP00000009923,9913
464,P00367,9606.ENSP00000277865,9606
465,Q13268,9606.ENSP00000344674,9606
466,Q9UBP4,9606.ENSP00000379762,9606
467,Q01460,10116.ENSRNOP00000020972,10116
468,Q9UBT3,9606.ENSP00000220812,9606
469,P80370,9606.ENSP00000340292,9606
470,P11936,9823.ENSSSCP00000008492,9823
471,P31429,9986.ENSOCUP00000008950,9986
472,Q06801,4113.PGSC0003DMT400042739,4113
473,Q55GS3,44689.DDB0191200,44689
474,P81999,9612.ENSCAFP00000019966,9612
475,Q9NR61,9606.ENSP00000249749,9606
476,P24855,9606.ENSP00000385905,9606
477,P16444,9606.ENSP00000376807,9606
478,P54107,9606.ENSP00000338276,9606
479,P0DML3,9606.ENSP00000376623,9606
480,P13611,9606.ENSP00000265077,9606
481,Q9DF69,9031.ENSGALP00000038516,9031
482,Q9SSB8,3702.AT1G80230.1,3702
483,Q8BSU2,10090.ENSMUSP00000019064,10090
484,P25719,4932.YML078W,4932
485,P01036,9606.ENSP00000217423,9606
486,P01038,9031.ENSGALP00000043172,9031
487,P82290,7165.AGAP000693-PA,7165
488,O95813,9606.ENSP00000370297,9606
489,P16619,9606.ENSP00000480558,9606
490,P05059,9913.ENSBTAP00000012973,9913
491,P10645,9606.ENSP00000216492,9606
492,P28319,4932.YKL096W,4932
493,P10889,10090.ENSMUSP00000074885,10090
494,Q10746,10116.ENSRNOP00000038520,10116
495,P50228,10090.ENSMUSP00000031318,10090
496,P02775,9606.ENSP00000296028,9606
497,Q9FX93,3702.AT1G49650.1,3702
498,Q9SSA5,3702.AT3G01480.1,3702
499,P34791,3702.AT3G62030.2,3702
500,Q09128,10116.ENSRNOP00000043298,10116
501,P34998,9606.ENSP00000381333,9606
502,Q02862,10090.ENSMUSP00000075716,10090
503,O23614,3702.AT4G17740.1,3702
504,P02742,9986.ENSOCUP00000004059,9986
505,Q9H4G1,9606.ENSP00000366178,9606
506,O94985,9606.ENSP00000366513,9606
507,F4KHG6,3702.AT5G46390.2,3702
508,P35171,10116.ENSRNOP00000060398,10116
509,P00175,4932.YML054C,4932
510,Q9NZV1,9606.ENSP00000280527,9606
511,Q60477,10141.ENSCPOP00000009992,10141
512,O75462,9606.ENSP00000376188,9606
513,P02741,9606.ENSP00000255030,9606
514,P10818,10116.ENSRNOP00000001545,10116
515,P07471,9913.ENSBTAP00000026002,9913
516,P07470,9913.ENSBTAP00000019808,9913
517,P19876,9606.ENSP00000296026,9606
518,P80221,9913.ENSBTAP00000012939,9913
519,Q07325,9606.ENSP00000354901,9606
520,O14625,9606.ENSP00000306884,9606
521,Q6UXB2,9606.ENSP00000472467,9606
522,P00125,9913.ENSBTAP00000016224,9913
523,P00423,9913.ENSBTAP00000049613,9913
524,Q26377,7227.FBpp0082386,7227
525,P10606,9606.ENSP00000258424,9606
526,P00427,4932.YHR051W,4932
527,P00430,9913.ENSBTAP00000051619,9913
528,P10175,9913.ENSBTAP00000002651,9913
529,P04039,4932.YLR395C,4932
530,P21240,3702.AT1G55490.2,3702
531,Q96318,3702.AT4G28520.1,3702
532,P09603,9606.ENSP00000327513,9606
533,Q9ERQ6,10116.ENSRNOP00000028278,10116
534,Q86IV5,44689.DDB0185089,44689
535,Q08738,7091.BGIBMGA000329-TA,7091
536,P14406,9606.ENSP00000359098,9606
537,P42830,9606.ENSP00000296027,9606
538,O95715,9606.ENSP00000337065,9606
539,P20029,10090.ENSMUSP00000097747,10090
540,Q05928,10090.ENSMUSP00000112765,10090
541,O95571,9606.ENSP00000292147,9606
542,P38071,4932.YBR026C,4932
543,Q20224,6239.F40F4.2.2,6239
544,O42807,5061.CADANGAP00007416,5061
545,P12318,9606.ENSP00000271450,9606
546,P13599,10116.ENSRNOP00000027944,10116
547,Q96LA5,9606.ENSP00000355157,9606
548,P27787,4577.GRMZM2G122337_P01,4577
549,Q0J8M2,4530.OS08T0104600-02,4530
550,P02765,9606.ENSP00000393887,9606
551,Q9GZV9,9606.ENSP00000237837,9606
552,O00748,9606.ENSP00000317842,9606
553,Q63010,10116.ENSRNOP00000024187,10116
554,B8M9H9,28564.XP_002481731.1,28564
555,Q08879,10090.ENSMUSP00000054583,10090
556,P06028,9606.ENSP00000427690,9606
557,P01274,9823.ENSSSCP00000016844,9823
558,Q9SZJ5,3702.AT4G37930.1,3702
559,P13224,9606.ENSP00000383382,9606
560,Q9LQL0,3702.AT1G32470.1,3702
561,P20821,9913.ENSBTAP00000008936,9913
562,P17695,4932.YDR513W,4932
563,P07728,4530.OS01T0762500-00,4530
564,P01227,9940.ENSOARP00000016546,9940
565,P10669,9823.ENSSSCP00000017901,9823
566,O80983,3702.AT2G26140.1,3702
567,Q91XV6,10116.ENSRNOP00000022032,10116
568,P50441,9823.ENSSSCP00000005032,9823
569,Q9QYH7,10116.ENSRNOP00000014103,10116
570,Q6ZBZ2,4530.OS08T0460000-01,4530
571,Q6IV20,9031.ENSGALP00000030908,9031
572,P29794,9612.ENSCAFP00000015307,9612
573,Q9VB68,7227.FBpp0084482,7227
574,P22146,4932.YMR307W,4932
575,Q9EQX0,10090.ENSMUSP00000069567,10090
576,I3LGZ3,9823.ENSSSCP00000023337,9823
577,P07474,9986.ENSOCUP00000007243,9986
578,P14314,9606.ENSP00000466134,9606
579,P07730,4530.OS10T0400200-01,4530
580,Q6UWK7,9606.ENSP00000361199,9606
581,P25291,9612.ENSCAFP00000030927,9612
582,P35571,10116.ENSRNOP00000043749,10116
583,Q6UWM5,9606.ENSP00000310770,9606
584,O60565,9606.ENSP00000478319,9606
585,Q3SZC1,9913.ENSBTAP00000013431,9913
586,P37042,9031.ENSGALP00000000365,9031
587,P49921,9823.ENSSSCP00000010305,9823
588,P35053,10116.ENSRNOP00000066597,10116
589,Q01401,4530.OS06T0726400-01,4530
590,P01217,9913.ENSBTAP00000021481,9913
591,P01218,9940.ENSOARP00000014092,9940
592,P14519,9986.ENSOCUP00000019769,9986
593,Q92643,9606.ENSP00000359848,9606
594,P28798,10090.ENSMUSP00000046340,10090
595,P17813,9606.ENSP00000362299,9606
596,P93735,3702.AT3G22840.1,3702
597,P43555,4932.YFL048C,4932
598,Q1ZYQ8,4577.GRMZM2G127106_P03,4577
599,P0C1Y5,4577.GRMZM2G089699_P01,4577
600,Q96KR6,9606.ENSP00000360437,9606
601,P98140,9913.ENSBTAP00000025122,9913
602,P00748,9606.ENSP00000253496,9606
603,Q8WZI8,5061.CADANGAP00010268,5061
604,Q93V66,3702.AT3G57280.1,3702
605,P12319,9606.ENSP00000357097,9606
606,P12314,9606.ENSP00000358165,9606
607,P55899,9606.ENSP00000221466,9606
608,O80429,4577.GRMZM2G048313_P01,4577
