CS,Type,Org,Fold,ID,Seqlen
54.0,3,1,3,Q9LW15,176
30.0,2,0,2,P30348,100
20.0,2,0,0,O55038,109
24.0,2,1,3,G1CWH5,130
24.0,2,1,3,G1CWH6,122
24.0,2,1,3,C0HKG0,117
21.0,2,0,0,Q9NRR1,136
19.0,2,0,4,P01037,141
19.0,2,0,4,P09228,141
17.0,2,0,1,P35481,129
75.0,4,1,2,Q94AL8,225
23.0,2,0,3,P06205,242
23.0,2,0,3,P06207,242
24.0,2,1,0,Q9ZWA9,451
17.0,2,0,2,P84805,239
17.0,2,0,2,Q7ZT98,239
18.0,2,0,2,Q7ZZN9,240
16.0,2,0,0,Q875I9,238
28.0,2,0,4,Q00657,2326
14.0,2,0,3,P85196,183
20.0,2,0,2,Q8T0W0,77
51.0,4,1,0,P32260,383
21.0,2,0,3,P81534,67
20.0,2,0,0,Q07092,1604
25.0,2,0,1,P01189,267
25.0,2,0,2,Q00945,155
30.0,3,0,0,P12075,129
15.0,3,0,1,Q1W0Y2,63
24.0,3,0,2,P14622,69
23.0,4,1,3,O65220,281
39.0,4,1,4,Q42512,139
30.0,2,0,4,O75629,220
18.0,2,0,2,Q91055,242
18.0,2,0,2,Q8JI39,240
21.0,2,0,0,P52753,118
18.0,2,0,0,P08796,514
25.0,2,0,1,P0DML2,217
21.0,2,0,0,P52013,204
50.0,4,1,1,P24847,377
53.0,4,1,1,P26259,380
26.0,2,1,2,Q43413,75
18.0,2,0,3,P59665,94
24.0,2,1,4,Q8H6Q1,103
26.0,2,1,2,B3F051,74
89.0,5,1,0,Q9LU10,448
23.0,3,0,2,P12074,109
20.0,3,0,3,P24310,79
22.0,3,0,3,P13184,83
36.0,2,0,3,P80162,114
20.0,2,0,2,P02778,98
27.0,2,1,3,G1CWH1,132
148.0,4,1,2,Q8GZR2,496
113.0,5,1,1,P82869,466
19.0,2,0,4,P28325,142
18.0,2,0,1,Q98967,130
77.0,3,1,4,O23240,559
61.0,4,1,1,P24846,388
20.0,2,0,2,Q6UWE3,100
20.0,2,0,0,Q5DW47,107
21.0,3,0,1,P13073,169
21.0,3,0,1,P10888,169
15.0,3,0,1,P15954,63
23.0,3,0,2,P16221,70
38.0,3,0,1,P00189,520
26.0,4,1,0,A6Q0K5,107
32.0,4,1,3,Q96242,518
16.0,2,0,2,P45590,129
24.0,2,0,0,Q8T0W3,63
21.0,2,0,4,Q8T0W1,115
20.0,2,0,2,Q8MMH0,109
19.0,2,0,1,P43497,92
27.0,2,1,3,G1CWH8,123
23.0,2,1,3,C0HKG1,127
27.0,2,1,3,G1CWH3,123
27.0,2,1,3,P86841,124
25.0,2,0,1,P01034,146
26.0,2,0,2,P19313,141
24.0,2,1,4,Q8H6Q0,101
24.0,2,1,2,C0HJZ1,72
21.0,2,0,2,P46162,63
72.0,5,1,2,Q9SEL7,323
86.0,3,1,4,Q43725,430
18.0,2,0,3,P47178,298
45.0,3,1,1,Q01859,552
44.0,3,1,3,P26360,326
54.0,4,1,4,P29790,377
56.0,4,1,0,Q9ZP27,578
27.0,2,1,0,P27919,214
19.0,2,0,3,P01888,118
42.0,3,0,0,P19483,553
50.0,3,1,1,P83483,556
53.0,3,1,1,Q9C5A9,559
46.0,3,0,0,P06576,529
22.0,3,0,3,P13621,213
31.0,3,0,4,P02721,108
69.0,4,1,2,P11402,257
19.0,2,0,3,P26776,153
21.0,3,0,2,P35434,168
40.0,4,1,4,P05435,364
22.0,3,0,3,P48047,213
30.0,2,0,1,D4A540,148
29.0,3,0,0,Q00972,412
45.0,3,0,4,Q02337,344
15.0,2,0,3,Q9NL89,495
22.0,2,0,0,O11780,683
23.0,2,1,3,Q9SR37,524
22.0,3,0,3,Q2EN81,213
19.0,2,0,3,P01887,119
59.0,4,1,3,Q6ER94,261
14.0,2,0,1,P09464,189
29.0,2,1,1,Q10NX8,858
18.0,2,0,0,Q5W280,96
36.0,2,0,4,Q86WA6,291
21.0,3,0,2,P30049,168
40.0,4,1,2,Q9LIR6,575
54.0,3,0,4,Q92247,412
43.0,3,0,0,P22068,525
66.0,3,0,1,Q13825,339
17.0,2,0,0,O96910,76
17.0,2,1,2,Q2A783,285
24.0,2,1,0,Q9LRC8,527
19.0,2,0,4,Q13145,260
73.0,4,1,3,Q1EBV7,409
30.0,2,0,3,P50895,628
18.0,2,0,0,Q8JFQ0,96
19.0,2,0,3,P07151,119
30.0,2,1,3,A3RF67,547
25.0,3,1,0,P54967,378
54.0,2,1,1,Q9FXT4,417
20.0,2,0,3,Q8I7X1,145
20.0,2,0,2,Q8TD06,166
23.0,3,0,1,P46367,519
22.0,2,0,4,P35859,603
15.0,2,0,3,P02817,213
26.0,2,0,0,P01500,46
21.0,2,0,2,P19034,101
21.0,2,0,2,P18658,101
17.0,2,0,4,P04639,259
19.0,2,0,4,P06727,396
15.0,2,0,0,Q5GQ85,159
20.0,2,1,2,P14217,647
25.0,2,0,0,P16860,134
25.0,2,1,1,A9UGV6,61
15.0,2,0,0,P09465,167
20.0,2,0,2,Q9U943,3380
17.0,2,0,4,P02648,266
17.0,2,0,0,P02649,317
23.0,2,0,0,P02659,106
29.0,2,0,0,Q6UW56,229
18.0,2,0,3,Q8MMH3,488
25.0,2,0,0,O43827,346
31.0,2,0,3,P01008,464
22.0,2,0,2,P19035,96
26.0,2,0,0,O14791,398
16.0,2,0,2,P14630,190
27.0,2,0,0,Q03472,202
20.0,2,0,0,C1IC49,86
20.0,2,0,0,A2CKF7,86
20.0,2,0,3,Q8JFX7,103
20.0,2,0,0,F5CPD6,83
20.0,2,0,0,P80958,82
20.0,2,0,3,O73856,81
20.0,2,0,3,P01443,81
20.0,2,0,3,O73857,81
17.0,2,0,3,P02763,201
23.0,2,0,4,P22325,405
28.0,3,0,2,P00505,430
28.0,3,0,2,P00507,430
17.0,2,0,0,P42255,499
23.0,2,0,1,P02712,493
18.0,2,0,3,P58154,229
15.0,3,0,0,P19414,778
20.0,3,0,3,Q9R0X4,439
48.0,4,1,3,P08817,129
35.0,3,1,2,O80800,126
67.0,3,0,3,P52505,156
16.0,2,0,2,P15358,136
41.0,3,1,3,Q8LEE7,318
17.0,2,0,4,P15497,265
17.0,2,0,2,P02652,100
18.0,2,0,0,P17690,345
17.0,2,0,0,Q5XM24,494
43.0,3,0,4,P54898,871
21.0,3,1,4,P46637,342
25.0,4,1,0,Q3C251,460
18.0,2,0,2,Q64HC7,73
20.0,2,1,4,P13744,480
20.0,2,0,0,P18328,86
20.0,2,0,0,Q8QGR0,86
23.0,2,1,4,Q8RVH5,433
23.0,2,0,4,P23035,413
20.0,2,0,4,Q03044,410
29.0,2,1,3,E3W9M2,502
22.0,2,0,3,P01011,423
28.0,3,0,2,P12344,430
62.0,3,1,0,Q9FUT3,678
23.0,2,0,0,P07692,590
33.0,2,0,1,P09470,1312
19.0,2,0,1,P09479,456
25.0,2,0,2,Q28989,421
24.0,2,0,0,P07634,131
23.0,2,0,3,P03950,147
31.0,2,0,3,P41361,465
25.0,2,1,1,A9UGV7,63
18.0,2,0,2,Q17043,556
17.0,2,0,4,P02647,267
19.0,2,0,2,P02656,99
19.0,2,0,1,P05090,189
18.0,2,0,0,P02749,345
23.0,2,0,4,Q90WJ8,166
21.0,2,0,2,P19872,77
18.0,2,0,4,P67788,65
37.0,3,1,1,Q9SU63,538
20.0,3,0,1,P20000,520
8.0,3,1,0,Q25417,498
45.0,4,1,1,P16096,394
27.0,2,0,0,P80392,64
30.0,2,1,4,C0HL83,81
20.0,2,0,2,P0C1B3,499
24.0,2,0,1,E0D877,564
17.0,2,0,2,P22327,624
33.0,3,1,1,Q8S528,534
25.0,2,1,3,P62928,130
25.0,2,1,3,P62931,130
43.0,3,1,3,Q0WUC5,566
23.0,2,1,4,Q84ZX5,132
16.0,2,0,2,Q00855,146
23.0,2,0,1,P01161,152
22.0,2,0,3,P04002,82
22.0,2,0,3,Q99013,82
22.0,2,0,3,B1P0S1,218
29.0,2,1,2,A9UGV5,68
21.0,2,0,2,P02655,101
34.0,2,0,1,O96559,364
18.0,2,0,0,Q9PW66,96
15.0,2,0,2,Q9BXJ3,329
14.0,2,0,1,Q9BXJ0,243
14.0,2,0,2,P09871,688
33.0,3,0,4,P43165,304
97.0,4,1,4,P16016,319
24.0,2,0,3,Q9MYV1,128
41.0,2,0,4,P30988,508
21.0,2,0,1,P07267,405
23.0,2,0,1,P53634,463
15.0,2,0,4,Q800A0,397
43.0,4,1,2,Q9SDM1,245
34.0,4,1,1,P04778,267
27.0,2,1,0,A6P6V9,544
22.0,2,1,3,Q9ZT64,513
15.0,2,0,2,P00730,419
15.0,2,0,2,P09954,419
23.0,2,0,3,B8JLQ9,363
30.0,2,1,1,Q39962,238
23.0,3,0,1,P30100,500
27.0,2,0,1,P02747,245
47.0,2,0,4,P04003,597
28.0,3,0,4,P23589,299
69.0,4,1,4,P17067,328
18.0,2,0,3,O43852,315
14.0,2,0,1,P02662,214
14.0,2,0,4,P02663,222
18.0,2,0,0,P12637,410
21.0,2,0,1,P08185,405
31.0,2,0,2,Q6UW01,205
26.0,2,0,2,Q9NTU7,201
18.0,2,0,0,Q8JFE6,96
36.0,2,0,4,Q16790,459
24.0,2,0,3,P41547,130
16.0,2,0,2,P28491,417
16.0,2,0,2,P07154,334
16.0,2,0,2,Q26636,339
21.0,2,0,1,P31211,396
20.0,2,0,3,Q9D6Y1,273
23.0,2,0,4,Q8SXL2,136
22.0,2,0,4,O15467,120
22.0,2,0,4,Q9Y258,94
22.0,2,0,0,P10855,92
22.0,2,0,3,P80098,99
18.0,2,0,4,P20160,251
20.0,2,0,2,P15156,695
27.0,2,0,0,P07221,395
18.0,2,0,0,P19204,406
41.0,4,1,1,P27489,265
30.0,4,1,3,Q9XF88,287
33.0,2,1,4,P08818,476
15.0,2,0,2,P15085,419
14.0,2,0,2,P09955,416
16.0,2,0,3,P14384,443
25.0,2,0,2,P78556,96
23.0,2,0,1,O00626,93
22.0,2,0,3,P13500,99
17.0,2,0,3,Q12127,133
20.0,2,0,0,Q8N6Q3,437
17.0,2,0,3,Q15762,336
18.0,2,0,4,Q01151,205
18.0,2,0,2,P26732,92
23.0,3,0,1,P15393,499
28.0,2,0,4,Q6UWJ8,174
17.0,2,0,3,Q23997,452
25.0,2,0,4,P13806,1106
23.0,2,0,4,Q8N126,398
19.0,2,1,1,P20507,377
19.0,2,1,1,P24258,380
13.0,2,0,0,P18915,319
14.0,2,0,3,Q9GKK3,241
20.0,2,0,3,P02670,192
25.0,2,1,2,Q94K85,359
15.0,2,0,4,Q805F3,397
29.0,2,0,4,Q9BWV1,1114
19.0,2,0,1,Q8N4F0,458
30.0,2,0,2,P17213,487
39.0,2,0,3,Q9NR16,1453
33.0,3,0,3,P09440,975
17.0,2,0,0,P22748,312
16.0,2,0,0,P18761,317
21.0,2,0,4,Q16602,461
16.0,2,0,2,P52193,417
28.0,2,1,2,Q9SLY8,424
16.0,2,0,2,P15253,418
16.0,2,0,2,P18418,416
22.0,2,1,0,Q9LXD6,773
21.0,2,0,4,P31720,245
26.0,2,0,1,P02746,253
27.0,2,0,1,P31722,245
16.0,2,0,2,P00736,705
28.0,3,0,3,P35720,169
16.0,2,0,2,P14211,416
18.0,2,0,2,P26729,92
24.0,2,0,0,Q9R100,827
16.0,2,0,2,P27797,417
25.0,2,1,2,P10562,445
17.0,2,0,2,P11021,654
23.0,2,0,1,Q64277,311
18.0,2,0,2,P26730,92
25.0,2,0,0,P18892,526
28.0,2,0,0,O00478,584
16.0,2,0,0,Q6UX41,500
21.0,2,0,4,P02745,245
72.0,3,0,1,Q07021,282
26.0,2,0,4,Q9BXI9,278
30.0,3,0,0,Q6UB35,978
26.0,2,0,0,Q16568,116
33.0,2,0,0,O09165,405
18.0,2,0,0,P31235,409
18.0,2,0,0,P51868,413
31.0,2,0,2,O42720,110
24.0,3,0,0,P14066,229
19.0,2,0,3,Q62192,661
19.0,2,0,1,Q29422,333
25.0,2,0,2,P24807,76
27.0,2,0,1,P11911,220
33.0,2,0,2,P31809,521
22.0,2,0,4,P82592,59
23.0,2,0,1,Q556R7,303
20.0,2,0,1,Q8SPQ0,383
20.0,2,0,1,P36222,383
28.0,3,0,2,P25420,569
25.0,2,0,2,Q25589,135
25.0,2,0,2,Q25588,135
21.0,2,0,3,P29026,540
20.0,2,0,1,Q91Z98,402
57.0,4,1,0,Q96398,322
20.0,3,1,4,P24118,462
17.0,2,0,3,Q6UXG3,332
14.0,2,0,1,P18626,214
14.0,2,0,1,P47710,185
14.0,2,0,3,P02666,224
20.0,2,0,3,P02668,190
19.0,2,0,3,P82187,185
20.0,2,0,3,P02669,192
20.0,2,0,4,P56202,376
19.0,2,0,3,Q8IVL8,374
25.0,2,0,0,P06332,457
21.0,2,0,2,P27274,126
18.0,2,0,3,O43866,347
21.0,2,0,3,P14209,185
23.0,2,0,4,Q9Y0Y0,60
22.0,2,0,1,Q27081,400
32.0,2,0,2,Q61400,265
15.0,2,0,3,P00773,266
23.0,2,0,3,A0A0F7YZQ7,100
25.0,3,0,2,P10809,573
25.0,3,0,2,P63038,573
16.0,2,0,1,P0CB51,427
21.0,2,0,3,P29027,542
22.0,2,1,4,P24091,324
20.0,2,0,1,O35744,398
25.0,2,1,3,Q9SLP4,314
19.0,2,0,3,P29029,562
22.0,2,0,0,P50229,92
34.0,2,0,2,Q14002,265
27.0,2,1,0,Q8H8C7,356
22.0,2,0,4,P81417,59
18.0,2,0,4,P00450,1065
17.0,2,0,0,Q8VCT4,565
7.0,3,1,2,P56281,47
27.0,2,0,0,P06276,602
59.0,4,1,2,O04121,439
25.0,2,0,4,Q7YZS9,67
20.0,2,0,1,P47001,227
26.0,3,0,4,P00889,464
26.0,2,0,2,Q6QD51,949
21.0,2,0,1,Q4V4I9,182
18.0,2,0,0,Q16627,93
22.0,2,0,2,Q92583,94
20.0,2,0,0,P55773,120
23.0,2,0,3,Q9Y4X3,112
21.0,2,0,4,O13547,238
34.0,2,0,0,Q9NPF0,282
32.0,2,0,1,Q28270,389
30.0,2,0,1,P28906,385
21.0,2,0,2,P18181,240
23.0,2,0,2,P31358,61
23.0,2,0,0,O77541,124
33.0,2,0,2,P40199,344
12.0,2,0,0,P14661,70
19.0,2,0,0,P19835,753
34.0,4,1,1,P12333,267
22.0,2,0,3,Q8J0D2,812
19.0,2,0,4,P15169,458
66.0,3,0,4,P00431,361
32.0,2,0,0,P42292,588
22.0,2,0,3,Q99467,661
24.0,2,0,0,O62680,123
27.0,2,0,2,P40259,229
19.0,2,0,1,P0DN86,165
30.0,3,1,2,P29197,577
23.0,2,0,4,Q963A9,60
29.0,2,0,3,Q8WUJ3,1361
17.0,2,0,0,P16303,565
24.0,2,0,0,Q06153,100
56.0,3,0,2,O02649,573
33.0,3,0,0,Q6UPE0,599
23.0,2,0,2,Q25154,134
19.0,2,1,4,P21226,324
20.0,2,0,1,Q91XA9,473
22.0,2,1,1,Q9FRV0,266
20.0,2,0,1,Q13231,466
19.0,2,0,0,P55774,89
22.0,2,0,2,P22362,96
25.0,2,0,2,P97884,96
22.0,2,0,4,O00585,134
18.0,2,0,4,P26842,260
24.0,2,0,0,P01730,458
31.0,2,0,1,P11912,226
28.0,2,0,0,Q9H5V8,836
24.0,2,0,0,P00751,764
17.0,2,0,2,Q28085,1236
17.0,2,0,2,P08603,1231
20.0,2,0,1,P30922,383
20.0,2,0,1,Q29411,383
30.0,3,1,2,Q93ZM7,572
33.0,3,1,2,P29185,577
28.0,2,0,1,P12024,1315
38.0,3,1,4,Q9LEV3,206
21.0,2,0,2,Q9H6E4,229
22.0,2,0,3,P80325,96
20.0,2,0,0,Q16663,113
26.0,2,0,2,O89093,97
25.0,2,0,2,O00175,119
22.0,2,0,0,P10147,92
22.0,2,0,2,P13501,91
20.0,2,0,3,Q9BZW8,370
27.0,2,0,0,Q5ZPR3,534
24.0,2,0,2,P13987,128
33.0,2,0,4,P33681,288
30.0,2,0,0,O94907,266
35.0,3,1,2,Q9M5K3,507
35.0,3,1,2,Q9M5K2,507
25.0,2,0,1,Q75WF2,358
52.0,3,0,1,P49448,558
30.0,3,0,3,P37298,181
24.0,2,1,2,Q02126,330
25.0,2,0,2,Q9UNE0,448
25.0,2,0,3,P28088,441
27.0,2,1,2,P15737,334
32.0,3,0,3,P55084,474
31.0,2,0,4,P01920,261
26.0,2,0,0,Q15768,340
25.0,2,0,1,O42446,284
20.0,2,0,1,O18998,281
35.0,4,1,2,Q9FYB5,161
16.0,2,0,2,Q62598,687
21.0,2,1,2,Q9M069,504
25.0,2,0,2,P11919,88
18.0,2,0,3,Q62894,562
24.0,2,0,0,P22388,202
15.0,2,0,2,P22412,409
17.0,2,0,3,B0XRV0,721
28.0,2,0,4,Q30154,266
42.0,2,1,3,Q9ZT66,303
17.0,2,0,0,P20827,205
26.0,2,0,3,P98172,346
29.0,2,1,2,B5LZ79,75
24.0,2,1,2,Q8GTM0,105
21.0,2,0,2,P46169,60
28.0,2,0,0,P85213,72
21.0,2,0,2,P46163,64
21.0,2,0,2,P46165,62
23.0,2,0,2,Q6GU94,56
21.0,2,0,2,P46168,62
24.0,3,0,4,P92507,156
21.0,2,0,1,P00639,282
28.0,2,1,4,P30224,80
28.0,2,1,4,P69241,80
20.0,2,0,0,P81160,54
34.0,3,0,3,P09623,509
19.0,2,0,4,Q9H1M4,99
23.0,2,0,0,Q8T0W8,65
17.0,2,0,2,P18684,101
28.0,2,1,0,Q9SUQ8,187
30.0,3,1,2,P31023,501
20.0,3,0,3,P09624,499
24.0,2,0,4,Q8NBI3,349
18.0,2,0,3,P81605,110
29.0,2,1,1,P26780,99
17.0,2,0,0,P19427,201
33.0,2,0,2,P08174,381
33.0,3,0,4,Q64591,335
28.0,2,1,4,P30230,80
104.0,5,1,3,O22609,439
56.0,3,0,1,P00366,558
52.0,3,0,1,P00367,558
22.0,3,0,1,Q13268,280
20.0,2,0,4,Q9UBP4,350
22.0,2,0,1,Q01460,367
17.0,2,0,2,Q9UBT3,224
22.0,2,0,3,P80370,383
21.0,2,0,1,P11936,284
15.0,2,0,2,P31429,410
51.0,4,1,3,Q06801,576
18.0,2,0,4,Q55GS3,607
21.0,2,0,0,P81999,358
25.0,2,0,1,Q9NR61,685
21.0,2,0,1,P24855,282
15.0,2,0,2,P16444,411
22.0,2,0,2,P01909,254
20.0,2,0,2,P54107,249
25.0,2,0,1,P0DML3,217
19.0,2,0,3,P13611,3396
17.0,2,0,4,Q9DF69,594
76.0,5,1,4,O04073,464
33.0,2,1,4,B8AL97,470
53.0,3,1,3,Q9SSB8,171
25.0,2,0,0,Q8BSU2,246
19.0,3,0,1,P25719,182
26.0,3,1,0,Q43153,368
25.0,2,1,1,Q6TPK4,116
19.0,2,0,4,P01036,141
25.0,2,0,1,Q6T6T4,140
22.0,2,0,2,P01038,139
22.0,2,0,4,P82290,58
22.0,2,0,4,Q9Y0X9,59
22.0,2,0,0,P83403,63
16.0,2,0,1,O95813,267
22.0,2,0,0,P16619,93
17.0,2,0,2,P05059,449
17.0,2,0,2,P10645,457
21.0,2,1,2,Q6F495,158
19.0,2,0,4,P28319,239
26.0,2,0,2,P10889,100
31.0,2,0,2,Q10746,101
39.0,2,0,4,P50228,132
33.0,2,0,2,P02775,128
51.0,3,1,3,Q9FX93,374
91.0,5,1,0,Q9SSA5,437
78.0,4,1,4,P34791,260
34.0,3,0,0,Q09128,514
25.0,2,0,4,Q8T0Y7,141
22.0,2,0,0,P34998,444
18.0,2,0,2,Q7ZTA0,240
18.0,2,0,2,F8S0Y4,240
18.0,2,0,2,Q8JI40,240
17.0,2,0,2,Q8JGT9,237
18.0,2,0,4,P21837,550
14.0,2,0,0,Q02862,184
18.0,2,0,3,P86798,140
125.0,5,1,1,O23614,515
14.0,2,0,4,Q8T4J9,180
21.0,2,1,2,P19667,158
23.0,2,0,3,P06206,242
19.0,2,0,1,P02742,225
15.0,2,0,1,Q07203,238
18.0,2,0,2,Q7ZZN8,238
27.0,2,0,1,Q9H4G1,147
27.0,2,0,2,O94985,981
66.0,5,1,2,F4KHG6,489
17.0,2,0,4,P47796,263
20.0,2,0,2,Q8T0W5,85
18.0,2,0,0,Q8T0W2,203
22.0,3,0,3,P35171,83
79.0,3,0,4,P00175,591
33.0,2,0,2,Q9NZV1,1036
20.0,2,0,2,Q60477,244
36.0,2,0,3,O75462,422
17.0,2,0,1,P02741,224
18.0,2,0,3,P86797,142
19.0,2,0,0,A7L035,456
16.0,2,0,0,A7L036,462
23.0,2,0,4,P83400,60
23.0,2,0,4,Q9UAD0,59
25.0,3,0,2,P10818,111
11.0,3,0,2,P07471,97
20.0,3,0,3,P07470,80
33.0,2,0,2,P19876,107
35.0,2,0,3,P80221,112
21.0,2,0,0,Q07325,125
20.0,2,0,2,O14625,94
20.0,2,0,3,Q6UXB2,119
83.0,3,0,0,P00125,325
21.0,3,0,1,P00423,169
27.0,3,0,1,P80971,176
24.0,2,0,1,A0A0F7YYX3,196
25.0,2,0,3,W1I921,184
23.0,2,0,4,P81761,62
15.0,2,0,3,P85197,180
14.0,2,0,2,Q8MUC5,342
15.0,2,0,3,P80686,211
18.0,2,0,3,Q26377,154
30.0,3,0,0,P10606,129
39.0,3,0,0,P00427,148
15.0,3,0,1,P00430,63
23.0,3,0,2,P10175,70
26.0,3,0,1,P04039,78
53.0,4,1,4,P21240,600
23.0,2,0,2,Q6UXH1,353
22.0,2,1,0,Q96318,524
17.0,2,0,2,Q7T1K6,239
18.0,2,0,2,Q7ZT99,240
31.0,2,0,3,P09603,554
29.0,2,0,3,Q9ERQ6,571
20.0,2,0,0,Q86IV5,258
17.0,2,0,2,Q8T635,200
15.0,2,0,3,Q08738,239
22.0,3,0,3,P14406,83
35.0,2,0,3,P42830,114
33.0,2,0,4,O95715,111
18.0,2,0,2,P20029,655
30.0,2,0,4,Q05928,177
6.0,3,0,4,O95571,254
8.0,3,0,4,P38071,380
72.0,4,1,2,P80030,385
18.0,2,0,3,Q20224,161
20.0,2,0,0,O42807,281
32.0,2,0,1,P12318,317
21.0,2,0,2,P13599,366
18.0,2,0,3,Q96LA5,508
51.0,4,1,2,P27787,150
42.0,4,1,2,Q0J8M2,139
17.0,2,0,0,P02765,367
23.0,2,0,1,Q9GZV9,251
20.0,2,0,3,P28770,221
25.0,2,0,0,O00748,559
17.0,2,0,0,Q63010,561
64.0,4,1,3,P48629,447
17.0,2,0,3,B8M9H9,358
28.0,2,0,4,Q08879,705
16.0,2,0,1,P02727,129
18.0,2,0,1,P06028,91
19.0,2,0,0,P01274,180
17.0,2,1,0,P04405,485
29.0,3,1,0,Q9SZJ5,517
24.0,2,0,1,P13224,206
31.0,2,1,1,P21978,476
34.0,3,1,0,Q9LQL0,166
47.0,3,0,0,P20821,173
17.0,2,1,3,L8BRS3,209
34.0,3,0,4,P17695,143
100.0,4,1,2,Q03460,2194
