,ID,Kingdom,Type,Partition
162,Q96RT7,1,NO_SP,2
163,O46567,1,NO_SP,0
164,Q9SY66,1,NO_SP,4
165,Q5UBY2,1,NO_SP,2
166,Q8N4E7,1,NO_SP,4
167,Q8CG73,1,NO_SP,2
168,P35637,1,NO_SP,2
169,O74972,1,NO_SP,3
170,Q8L3Z8,1,NO_SP,4
171,Q7L622,1,NO_SP,3
172,Q9FX54,1,NO_SP,0
173,O59812,1,NO_SP,4
174,Q9W3Y4,1,NO_SP,2
175,Q04739,1,NO_SP,1
176,F4JV80,1,NO_SP,1
177,O43716,1,NO_SP,1
178,Q8WUU5,1,NO_SP,4
179,Q84P53,1,NO_SP,0
180,Q8SY33,1,NO_SP,4
181,P62879,1,NO_SP,0
182,Q5GIS3,1,NO_SP,0
183,P30793,1,NO_SP,4
184,H2L099,1,NO_SP,2
185,Q8LSN3,1,NO_SP,0
186,P42776,1,NO_SP,1
187,Q9HDV9,1,NO_SP,2
188,O80988,1,NO_SP,2
189,Q9VRJ0,1,NO_SP,3
190,P38812,1,NO_SP,3
191,P30047,1,NO_SP,1
192,Q9LR30,1,NO_SP,2
193,P40208,1,NO_SP,0
194,P38783,1,NO_SP,1
195,O13837,1,NO_SP,0
196,Q8CA72,1,NO_SP,3
197,Q5JY77,1,NO_SP,0
198,Q9LRH6,1,NO_SP,1
199,P43694,1,NO_SP,2
200,Q94CE5,1,NO_SP,3
201,Q10282,1,NO_SP,1
202,P42775,1,NO_SP,1
203,P38011,1,NO_SP,4
204,Q9SMN1,1,NO_SP,0
205,P16068,1,NO_SP,2
206,Q06625,1,NO_SP,1
207,P39958,1,NO_SP,0
208,P39993,1,NO_SP,2
209,Q09733,1,NO_SP,2
210,Q9VVX0,1,NO_SP,4
211,Q9H840,1,NO_SP,0
212,P55163,1,NO_SP,3
213,Q9P7R5,1,NO_SP,0
214,Q9M0A7,1,NO_SP,2
215,Q9LUD9,1,NO_SP,3
216,Q7XAK4,1,NO_SP,2
217,P27469,1,NO_SP,1
218,P00360,1,NO_SP,0
219,Q8H103,1,NO_SP,3
220,Q92908,1,NO_SP,3
221,A6NHX0,1,NO_SP,0
222,Q84P54,1,NO_SP,0
223,P97265,1,NO_SP,0
224,Q9H227,1,NO_SP,0
225,P49177,1,NO_SP,0
226,P42777,1,NO_SP,3
227,Q9SJU9,1,NO_SP,3
228,Q94AU7,1,NO_SP,1
229,Q27403,1,NO_SP,3
230,P33892,1,NO_SP,1
231,Q94B78,1,NO_SP,2
232,Q9C104,1,NO_SP,4
233,P52566,1,NO_SP,2
234,Q8TEQ6,1,NO_SP,3
235,Q03555,1,NO_SP,4
236,Q8GWW8,1,NO_SP,1
237,O70237,1,NO_SP,3
238,Q8RWE8,1,NO_SP,3
239,Q9LQT8,1,NO_SP,2
240,P28007,1,NO_SP,4
241,P11862,1,NO_SP,3
242,Q9ZPQ3,1,NO_SP,3
243,Q8WXD5,1,NO_SP,4
244,P34802,1,NO_SP,2
245,Q9STX3,1,NO_SP,2
246,Q641A1,1,NO_SP,0
247,Q6DFA8,1,NO_SP,0
248,P34689,1,NO_SP,1
249,Q8K1M4,1,NO_SP,4
250,P00359,1,NO_SP,0
251,Q9M350,1,NO_SP,2
252,Q7XJ96,1,NO_SP,1
253,Q9H0R6,1,NO_SP,4
254,Q8WTX7,1,NO_SP,0
255,Q84P52,1,NO_SP,0
256,P35573,1,NO_SP,2
257,Q9USN5,1,NO_SP,1
258,Q99PT1,1,NO_SP,2
259,Q32NR9,1,NO_SP,3
260,Q9SSQ4,1,NO_SP,3
261,P40492,1,NO_SP,1
262,Q9WUU9,1,NO_SP,0
263,P17679,1,NO_SP,3
264,Q14397,1,NO_SP,2
265,P06536,1,NO_SP,0
266,A3C6G9,1,NO_SP,0
267,Q02979,1,NO_SP,2
268,P83774,1,NO_SP,4
269,Q9C6B3,1,NO_SP,1
270,Q09785,1,NO_SP,4
271,Q9TU03,1,NO_SP,2
272,A4FVR1,1,NO_SP,2
273,Q9Y2X7,1,NO_SP,4
274,P27900,1,NO_SP,2
275,O13702,1,NO_SP,1
276,P47011,1,NO_SP,0
277,Q93YV0,1,NO_SP,4
278,Q7L5D6,1,NO_SP,4
279,Q5VTD9,1,NO_SP,3
280,O22043,1,NO_SP,0
281,O59703,1,NO_SP,1
282,Q9NWU2,1,NO_SP,0
283,Q12418,1,NO_SP,4
284,P30627,1,NO_SP,3
285,P91420,1,NO_SP,0
286,Q12315,1,NO_SP,0
287,Q61602,1,NO_SP,3
288,O22287,1,NO_SP,0
289,Q9FMV1,1,NO_SP,0
290,P16383,1,NO_SP,2
291,Q9SGA2,1,NO_SP,1
292,O59679,1,NO_SP,0
293,Q8IS21,1,NO_SP,3
294,D3YN49,1,NO_SP,3
295,O74432,1,NO_SP,4
296,Q6L545,1,NO_SP,1
297,O02658,1,NO_SP,0
298,O23647,1,NO_SP,4
299,Q0VGT2,1,NO_SP,2
300,Q6XP49,1,NO_SP,4
301,Q9ZST4,1,NO_SP,0
302,P39732,1,NO_SP,0
303,P48727,1,NO_SP,0
304,Q9VD44,1,NO_SP,2
305,G5EFL0,1,NO_SP,1
306,Q0WPZ7,1,NO_SP,4
307,O94652,1,NO_SP,1
308,Q43127,1,NO_SP,3
309,P32288,1,NO_SP,3
310,Q10CE4,1,NO_SP,0
311,Q9LU39,1,NO_SP,4
312,Q96IJ6,1,NO_SP,0
313,P25157,1,NO_SP,2
314,P29348,1,NO_SP,3
315,Q03557,1,NO_SP,1
316,O75879,1,NO_SP,2
317,P53260,1,NO_SP,1
318,P36408,1,NO_SP,0
319,O24456,1,NO_SP,4
320,P04150,1,NO_SP,0
321,Q12125,1,NO_SP,3
322,Q04839,1,NO_SP,2
323,Q9N658,1,NO_SP,0
324,Q12263,1,NO_SP,3
325,Q03833,1,NO_SP,4
326,O35826,1,NO_SP,3
327,Q9VYS4,1,NO_SP,0
328,O17087,1,NO_SP,2
329,Q91YI6,1,NO_SP,1
330,D2WL32,1,NO_SP,4
331,P08151,1,NO_SP,2
332,Q59W62,1,NO_SP,3
333,Q6PBM1,1,NO_SP,4
334,Q9HDW8,1,NO_SP,4
335,Q9LSV0,1,NO_SP,1
336,Q2QPW1,1,NO_SP,4
337,Q6PGG6,1,NO_SP,1
338,Q811S9,1,NO_SP,1
339,Q8CI11,1,NO_SP,1
340,Q99JY3,1,NO_SP,4
341,Q6P9H5,1,NO_SP,4
342,Q04233,1,NO_SP,1
343,Q2KIR7,1,NO_SP,2
344,O13426,1,NO_SP,4
345,Q94JQ3,1,NO_SP,4
346,G5EEN4,1,NO_SP,1
347,P06537,1,NO_SP,0
348,Q9LQL0,1,NO_SP,0
349,O14224,1,NO_SP,3
350,Q9Y7U3,1,NO_SP,3
351,P53849,1,NO_SP,1
352,Q8IVS8,1,NO_SP,2
353,P10070,1,NO_SP,2
354,Q9FFH0,1,NO_SP,1
355,P39726,1,NO_SP,3
356,Q8GY54,1,NO_SP,1
357,Q95UQ1,1,NO_SP,0
358,Q5ZR76,1,NO_SP,3
359,Q9NWZ8,1,NO_SP,0
360,Q58EE9,1,NO_SP,1
361,P14136,1,NO_SP,1
362,Q9M0A5,1,NO_SP,2
363,P25569,1,NO_SP,2
364,Q59VM7,1,NO_SP,3
365,Q16775,1,NO_SP,3
366,Q02784,1,NO_SP,4
367,Q9UI32,1,NO_SP,3
368,Q9C102,1,NO_SP,3
369,Q12393,1,NO_SP,0
370,Q99684,1,NO_SP,3
371,Q8VZS6,1,NO_SP,2
372,Q9FN69,1,NO_SP,1
373,Q95ZK7,1,NO_SP,2
374,Q53GS7,1,NO_SP,4
375,Q9LZS3,1,NO_SP,4
376,Q9LRR9,1,NO_SP,0
377,Q9LRS0,1,NO_SP,0
378,B7ZFT1,1,NO_SP,2
379,Q9DB00,1,NO_SP,0
380,P46984,1,NO_SP,0
381,Q6NXH3,1,NO_SP,3
382,Q8SR40,1,NO_SP,2
383,P47122,1,NO_SP,4
384,Q08726,1,NO_SP,4
385,F4JTE7,1,NO_SP,2
386,P81274,1,NO_SP,0
387,Q9NW75,1,NO_SP,3
388,O75791,1,NO_SP,2
389,Q14449,1,NO_SP,3
390,Q03160,1,NO_SP,4
391,Q9ZR12,1,NO_SP,4
392,Q84Y95,1,NO_SP,1
393,Q9BQ67,1,NO_SP,4
394,Q9Z1B2,1,NO_SP,4
395,P30713,1,NO_SP,1
396,Q8L7C9,1,NO_SP,3
397,Q9JI57,1,NO_SP,1
398,P36156,1,NO_SP,4
399,D2XV59,1,NO_SP,3
400,O94250,1,NO_SP,1
401,Q05926,1,NO_SP,4
402,Q0JKD0,1,NO_SP,3
403,Q9NZD2,1,NO_SP,3
404,Q9LV03,1,NO_SP,0
405,Q6IB77,1,NO_SP,2
406,Q94C74,1,NO_SP,0
407,P21279,1,NO_SP,3
408,Q03786,1,NO_SP,3
409,O14443,1,NO_SP,4
410,F3Y5P4,1,NO_SP,1
411,Q3V6T2,1,NO_SP,2
412,P38715,1,NO_SP,0
413,Q9NZI5,1,NO_SP,4
414,Q03569,1,NO_SP,2
415,Q9Y4H4,1,NO_SP,0
416,Q8R4T5,1,NO_SP,3
417,Q08969,1,NO_SP,2
418,Q12068,1,NO_SP,4
419,Q5FWH3,1,NO_SP,4
420,O74791,1,NO_SP,2
421,Q9C469,1,NO_SP,4
422,Q8GWS0,1,NO_SP,2
423,O94246,1,NO_SP,2
424,Q9FHE1,1,NO_SP,1
425,Q923K4,1,NO_SP,1
426,Q56WN1,1,NO_SP,3
427,Q69RJ0,1,NO_SP,1
428,P34897,1,NO_SP,2
429,Q9Y5P6,1,NO_SP,0
430,A8MTJ3,1,NO_SP,3
431,P39717,1,NO_SP,2
432,Q9HCN4,1,NO_SP,4
433,Q95QJ7,1,NO_SP,2
434,P15505,1,NO_SP,0
435,O77512,1,NO_SP,2
436,Q49A26,1,NO_SP,1
437,P04899,1,NO_SP,3
438,Q9SCX9,1,NO_SP,1
439,P32191,1,NO_SP,0
440,P36970,1,NO_SP,0
441,Q9U405,1,NO_SP,1
442,Q60760,1,NO_SP,3
443,Q14451,1,NO_SP,4
444,Q9UU96,1,NO_SP,0
445,Q64MA3,1,NO_SP,3
446,Q08622,1,NO_SP,1
447,Q9S7E9,1,NO_SP,2
448,E5RQA1,1,NO_SP,2
449,Q9NUV9,1,NO_SP,4
450,Q22663,1,NO_SP,1
451,Q9Y7N3,1,NO_SP,0
452,Q86SX6,1,NO_SP,0
453,P29992,1,NO_SP,3
454,Q8TAX9,1,NO_SP,1
455,Q60EZ2,1,NO_SP,2
456,Q9Y2Q3,1,NO_SP,2
457,P78417,1,NO_SP,4
458,Q9UT36,1,NO_SP,1
459,O76003,1,NO_SP,4
460,Q08886,1,NO_SP,3
461,Q86WP2,1,NO_SP,3
462,Q10104,1,NO_SP,4
463,P27601,1,NO_SP,3
464,P63096,1,NO_SP,3
465,Q9NVN8,1,NO_SP,1
466,O59762,1,NO_SP,1
467,Q8IX06,1,NO_SP,0
468,O42906,1,NO_SP,4
469,P40106,1,NO_SP,3
470,O49506,1,NO_SP,0
471,P17695,1,NO_SP,0
472,Q9CQM9,1,NO_SP,4
473,Q03460,1,NO_SP,0
474,P08754,1,NO_SP,3
475,Q96QA5,1,NO_SP,1
476,P46309,1,NO_SP,1
477,Q9LX31,1,NO_SP,0
478,Q04322,1,NO_SP,0
479,O94711,1,NO_SP,3
480,Q9VXG1,1,NO_SP,1
481,P0CS82,1,NO_SP,1
482,Q99714,1,NO_SP,2
483,Q0J7P4,1,NO_SP,3
484,Q9ZV65,1,NO_SP,0
485,Q9P3U4,1,NO_SP,4
486,Q9BXL5,1,NO_SP,3
487,Q568P9,1,NO_SP,4
488,Q6WQI6,1,NO_SP,0
489,C8V4D4,1,NO_SP,2
490,Q8LF89,1,NO_SP,1
491,Q94BZ7,1,NO_SP,3
492,P59169,1,NO_SP,0
493,Q8LPU4,1,NO_SP,4
494,P34470,1,NO_SP,0
495,Q9FML2,1,NO_SP,0
496,Q92769,1,NO_SP,0
497,O14092,1,NO_SP,3
498,Q9ERZ0,1,NO_SP,3
499,O04921,1,NO_SP,1
500,F4KDN0,1,NO_SP,4
501,Q550D5,1,NO_SP,1
502,Q9C882,1,NO_SP,3
503,Q969Y2,1,NO_SP,1
504,Q80SU7,1,NO_SP,0
505,P35064,1,NO_SP,4
506,P41353,1,NO_SP,0
507,Q8H991,1,NO_SP,1
508,Q9SNQ6,1,NO_SP,3
509,Q06623,1,NO_SP,2
510,Q76N89,1,NO_SP,3
511,Q76PD2,1,NO_SP,3
512,Q6NVF4,1,NO_SP,4
513,Q60848,1,NO_SP,1
514,Q9BYK8,1,NO_SP,1
515,Q10452,1,NO_SP,3
516,Q9FE46,1,NO_SP,1
517,P09211,1,NO_SP,1
518,Q9ZRT5,1,NO_SP,1
519,Q8L727,1,NO_SP,1
520,Q84XV2,1,NO_SP,2
521,Q04806,1,NO_SP,4
522,A4D1E9,1,NO_SP,4
523,O74544,1,NO_SP,1
524,Q9DAN6,1,NO_SP,0
525,Q9UBP9,1,NO_SP,3
526,Q9SAC6,1,NO_SP,0
527,Q5YLB4,1,NO_SP,3
528,Q4VBD9,1,NO_SP,4
529,P62804,1,NO_SP,3
530,Q90474,1,NO_SP,3
531,Q96MB7,1,NO_SP,1
532,Q96CS2,1,NO_SP,4
533,Q9H6D7,1,NO_SP,1
534,Q5BKC6,1,NO_SP,2
535,Q8R316,1,NO_SP,4
536,Q03385,1,NO_SP,4
537,O88958,1,NO_SP,0
538,Q8C0L9,1,NO_SP,2
539,Q8N335,1,NO_SP,3
540,P90551,1,NO_SP,0
541,P41277,1,NO_SP,3
542,Q9JJA9,1,NO_SP,3
543,A2XA73,1,NO_SP,1
544,Q8K5C0,1,NO_SP,4
545,P83775,1,NO_SP,4
546,Q9BYG8,1,NO_SP,3
547,O74824,1,NO_SP,4
548,P08992,1,NO_SP,0
549,Q8CCK0,1,NO_SP,4
550,P16104,1,NO_SP,4
551,Q9BVP2,1,NO_SP,1
552,Q8T1C6,1,NO_SP,2
553,Q9UTL7,1,NO_SP,4
554,O04922,1,NO_SP,4
555,O70325,1,NO_SP,0
556,P28676,1,NO_SP,4
557,Q07845,1,NO_SP,1
558,Q93V58,1,NO_SP,4
559,A8E0R9,1,NO_SP,3
560,Q62833,1,NO_SP,3
561,Q96305,1,NO_SP,1
562,P27456,1,NO_SP,1
563,Q9DCM2,1,NO_SP,2
564,Q9C8M3,1,NO_SP,3
565,Q6DBX4,1,NO_SP,0
566,P38646,1,NO_SP,1
567,Q8LBK6,1,NO_SP,2
568,Q9NZM5,1,NO_SP,3
569,Q9M2W2,1,NO_SP,3
570,Q9N1F5,1,NO_SP,4
571,Q9FGW9,1,NO_SP,0
572,Q9FT54,1,NO_SP,3
573,P78347,1,NO_SP,1
574,P48239,1,NO_SP,4
575,P53258,1,NO_SP,1
576,Q9SS38,1,NO_SP,0
577,Q27511,1,NO_SP,0
578,P59226,1,NO_SP,0
579,Q9I9R0,1,NO_SP,3
580,P41546,1,NO_SP,4
581,Q75N03,1,NO_SP,4
582,Q8I7Z8,1,NO_SP,0
583,Q8H7F6,1,NO_SP,4
584,Q12849,1,NO_SP,4
585,Q9P0R6,1,NO_SP,2
586,Q9UUH7,1,NO_SP,1
587,Q9CAF6,1,NO_SP,1
588,Q5YLB5,1,NO_SP,4
589,Q02539,1,NO_SP,2
590,P0C5Y9,1,NO_SP,4
591,P62787,1,NO_SP,3
592,Q0WP44,1,NO_SP,0
593,O94927,1,NO_SP,2
594,Q96VH4,1,NO_SP,1
595,Q9V4C8,1,NO_SP,4
596,Q9SL92,1,NO_SP,2
597,Q55BW2,1,NO_SP,0
598,O22446,1,NO_SP,0
599,Q13547,1,NO_SP,0
600,Q6K678,1,NO_SP,2
601,Q9Y5Z4,1,NO_SP,2
602,Q8K4P8,1,NO_SP,3
603,Q8NG08,1,NO_SP,4
604,Q5Y4Y6,1,NO_SP,1
605,Q8NEC7,1,NO_SP,2
606,Q18973,1,NO_SP,2
607,Q07729,1,NO_SP,3
608,A1Z6E0,1,NO_SP,4
609,Q9AWA5,1,NO_SP,0
610,P07305,1,NO_SP,2
611,P0C5Z0,1,NO_SP,4
612,Q9U281,1,NO_SP,0
613,Q402E2,1,NO_SP,0
614,Q22RG7,1,NO_SP,0
615,Q8CHM7,1,NO_SP,4
616,Q07653,1,NO_SP,3
617,P53834,1,NO_SP,2
618,P34243,1,NO_SP,1
619,O42227,1,NO_SP,0
620,Q5A960,1,NO_SP,4
621,Q8MT06,1,NO_SP,1
622,Q8TE85,1,NO_SP,4
623,P38647,1,NO_SP,1
624,Q9P6M1,1,NO_SP,1
625,Q96266,1,NO_SP,0
626,Q6NMS0,1,NO_SP,4
627,Q9ZRW8,1,NO_SP,3
628,Q9FNM5,1,NO_SP,3
629,P48566,1,NO_SP,1
630,P04913,1,NO_SP,3
631,P0C0S6,1,NO_SP,4
632,Q41811,1,NO_SP,3
633,P00348,1,NO_SP,3
634,Q852L0,1,NO_SP,2
635,Q9Y3E1,1,NO_SP,2
636,Q9H583,1,NO_SP,2
637,Q9NRV9,1,NO_SP,4
638,O48721,1,NO_SP,3
639,Q91898,1,NO_SP,1
640,P32479,1,NO_SP,2
641,P87315,1,NO_SP,3
642,O17468,1,NO_SP,1
643,P20271,1,NO_SP,0
644,Q9LZR5,1,NO_SP,0
645,Q3U487,1,NO_SP,1
646,Q9P2P5,1,NO_SP,1
647,Q9ZVW2,1,NO_SP,2
648,Q230X8,1,NO_SP,3
649,Q14526,1,NO_SP,2
650,F4K1R2,1,NO_SP,3
651,Q9FJH5,1,NO_SP,4
652,Q6NPM8,1,NO_SP,3
653,Q22717,1,NO_SP,0
654,Q93356,1,NO_SP,1
655,O54879,1,NO_SP,1
656,Q9Z130,1,NO_SP,3
657,P31942,1,NO_SP,2
658,Q794E4,1,NO_SP,2
659,P52272,1,NO_SP,0
660,P12258,1,NO_SP,4
661,Q56R42,1,NO_SP,2
662,Q8WNR4,1,NO_SP,3
663,Q9NVX0,1,NO_SP,4
664,Q99871,1,NO_SP,2
665,Q3UMU9,1,NO_SP,2
666,Q56WH4,1,NO_SP,0
667,Q9R257,1,NO_SP,4
668,F4HRI2,1,NO_SP,1
669,Q05580,1,NO_SP,2
670,P42804,1,NO_SP,3
671,Q9C5Q8,1,NO_SP,3
672,Q12276,1,NO_SP,1
673,Q9LS00,1,NO_SP,2
674,Q9Y2N7,1,NO_SP,0
675,Q0E908,1,NO_SP,3
676,O59667,1,NO_SP,0
677,Q71PD7,1,NO_SP,4
678,Q03532,1,NO_SP,4
679,Q09146,1,NO_SP,3
680,O60381,1,NO_SP,4
681,Q9Y5Z7,1,NO_SP,1
682,Q99N13,1,NO_SP,3
683,P22557,1,NO_SP,0
684,Q9LR75,1,NO_SP,3
685,P42043,1,NO_SP,2
686,Q9UST9,1,NO_SP,2
687,F2Z461,1,NO_SP,2
688,O94992,1,NO_SP,0
689,Q9JJ50,1,NO_SP,1
690,Q9DD02,1,NO_SP,2
691,Q32SG6,1,NO_SP,1
692,Q3HNG7,1,NO_SP,3
693,O75367,1,NO_SP,4
694,P48003,1,NO_SP,4
695,O14019,1,NO_SP,0
696,Q12180,1,NO_SP,4
697,Q64279,1,NO_SP,1
698,Q9Z0R0,1,NO_SP,0
699,P46604,1,NO_SP,4
700,Q68CZ6,1,NO_SP,3
701,Q7Z4H7,1,NO_SP,3
702,O74774,1,NO_SP,2
703,Q8GS60,1,NO_SP,1
704,Q61191,1,NO_SP,1
705,P14317,1,NO_SP,0
706,O15379,1,NO_SP,0
707,P09950,1,NO_SP,3
708,Q3B7D0,1,NO_SP,4
709,Q9FE22,1,NO_SP,2
710,Q9JHS2,1,NO_SP,0
711,O80528,1,NO_SP,0
712,Q9BT25,1,NO_SP,3
713,Q9SR77,1,NO_SP,1
714,P32769,1,NO_SP,1
715,Q9FVE6,1,NO_SP,0
716,P11353,1,NO_SP,1
717,Q5GLZ8,1,NO_SP,2
718,Q8IVU3,1,NO_SP,2
719,Q9H422,1,NO_SP,1
720,Q8QFR2,1,NO_SP,1
721,P46943,1,NO_SP,2
722,P08985,1,NO_SP,4
723,Q12692,1,NO_SP,4
724,Q7Z2G1,1,NO_SP,3
725,Q12753,1,NO_SP,1
726,Q06629,1,NO_SP,2
727,O09106,1,NO_SP,0
728,Q7TS99,1,NO_SP,3
729,E9QAM5,1,NO_SP,0
730,Q9Y5R4,1,NO_SP,4
731,O94301,1,NO_SP,2
732,F4JRB0,1,NO_SP,2
733,Q16665,1,NO_SP,0
734,Q53FT3,1,NO_SP,2
735,O59836,1,NO_SP,1
736,Q9BQA5,1,NO_SP,1
737,O24591,1,NO_SP,0
738,Q03937,1,NO_SP,4
739,I6PL68,1,NO_SP,1
740,O59786,1,NO_SP,4
741,Q9UII4,1,NO_SP,3
742,Q9QYL0,1,NO_SP,1
743,Q9QZR5,1,NO_SP,1
744,Q8T0S6,1,NO_SP,2
745,P47171,1,NO_SP,2
746,Q9BW71,1,NO_SP,4
747,Q93Z17,1,NO_SP,0
748,O48782,1,NO_SP,3
749,O48722,1,NO_SP,0
750,P47175,1,NO_SP,3
751,Q9USN7,1,NO_SP,0
752,Q9BUP3,1,NO_SP,4
753,O13772,1,NO_SP,4
754,F4IN78,1,NO_SP,2
755,Q6Q5K6,1,NO_SP,2
756,P83776,1,NO_SP,3
757,A2XLV9,1,NO_SP,3
758,O74648,1,NO_SP,2
759,Q659A1,1,NO_SP,3
760,O22941,1,NO_SP,1
761,Q9UTM0,1,NO_SP,4
762,P40060,1,NO_SP,2
763,Q94KR7,1,NO_SP,2
764,Q6Z2Z4,1,NO_SP,4
765,Q21067,1,NO_SP,0
766,O35368,1,NO_SP,0
767,P0DOV1,1,NO_SP,0
768,Q8R5F7,1,NO_SP,4
769,P20695,1,NO_SP,3
770,Q9P305,1,NO_SP,2
